SalesOrderNumber,OrderDate,ProductKey,SalesTerritoryKey,OrderQuantity,UnitPrice,SalesAmount,TotalProductCost
SO43933,2011-02-01 00:00:00.000,347,9,1,3399.99,3399.99,1912.1544
SO43934,2011-02-01 00:00:00.000,346,9,1,3399.99,3399.99,1912.1544
SO43935,2011-02-02 00:00:00.000,334,10,1,699.0982,699.0982,413.1463
SO43936,2011-02-02 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO43937,2011-02-02 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43938,2011-02-02 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43939,2011-02-02 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43940,2011-02-02 00:00:00.000,336,9,1,699.0982,699.0982,413.1463
SO43941,2011-02-03 00:00:00.000,314,10,1,3578.27,3578.27,2171.2942
SO43942,2011-02-03 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43943,2011-02-03 00:00:00.000,338,4,1,699.0982,699.0982,413.1463
SO43944,2011-02-03 00:00:00.000,344,9,1,3399.99,3399.99,1912.1544
SO43945,2011-02-03 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43946,2011-02-03 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43947,2011-02-03 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43948,2011-02-03 00:00:00.000,345,9,1,3399.99,3399.99,1912.1544
SO43949,2011-02-04 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43950,2011-02-04 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO43951,2011-02-04 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43952,2011-02-04 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43953,2011-02-05 00:00:00.000,342,10,1,699.0982,699.0982,413.1463
SO43954,2011-02-05 00:00:00.000,311,10,1,3578.27,3578.27,2171.2942
SO43955,2011-02-05 00:00:00.000,314,10,1,3578.27,3578.27,2171.2942
SO43956,2011-02-05 00:00:00.000,344,9,1,3399.99,3399.99,1912.1544
SO43957,2011-02-06 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO43958,2011-02-06 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43959,2011-02-06 00:00:00.000,348,9,1,3374.99,3374.99,1898.0944
SO43960,2011-02-06 00:00:00.000,349,9,1,3374.99,3374.99,1898.0944
SO43961,2011-02-07 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO43962,2011-02-07 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43963,2011-02-07 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43964,2011-02-07 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43965,2011-02-07 00:00:00.000,351,9,1,3374.99,3374.99,1898.0944
SO43966,2011-02-07 00:00:00.000,347,9,1,3399.99,3399.99,1912.1544
SO43967,2011-02-08 00:00:00.000,313,1,1,3578.27,3578.27,2171.2942
SO43968,2011-02-08 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO43969,2011-02-08 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43970,2011-02-08 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43971,2011-02-08 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43972,2011-02-09 00:00:00.000,314,6,1,3578.27,3578.27,2171.2942
SO43973,2011-02-09 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43974,2011-02-09 00:00:00.000,312,10,1,3578.27,3578.27,2171.2942
SO43975,2011-02-09 00:00:00.000,312,8,1,3578.27,3578.27,2171.2942
SO43976,2011-02-09 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43977,2011-02-09 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43978,2011-02-10 00:00:00.000,310,1,1,3578.27,3578.27,2171.2942
SO43979,2011-02-10 00:00:00.000,322,1,1,699.0982,699.0982,413.1463
SO43980,2011-02-10 00:00:00.000,351,9,1,3374.99,3374.99,1898.0944
SO43981,2011-02-10 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43982,2011-02-10 00:00:00.000,342,9,1,699.0982,699.0982,413.1463
SO43983,2011-02-11 00:00:00.000,314,1,1,3578.27,3578.27,2171.2942
SO43984,2011-02-11 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO43985,2011-02-11 00:00:00.000,313,8,1,3578.27,3578.27,2171.2942
SO43986,2011-02-11 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43987,2011-02-12 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43988,2011-02-12 00:00:00.000,344,10,1,3399.99,3399.99,1912.1544
SO43989,2011-02-12 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43990,2011-02-12 00:00:00.000,344,1,1,3399.99,3399.99,1912.1544
SO43991,2011-02-12 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43992,2011-02-12 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43993,2011-02-14 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43994,2011-02-15 00:00:00.000,314,4,1,3578.27,3578.27,2171.2942
SO43995,2011-02-15 00:00:00.000,312,6,1,3578.27,3578.27,2171.2942
SO43996,2011-02-15 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43997,2011-02-15 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43998,2011-02-15 00:00:00.000,348,9,1,3374.99,3374.99,1898.0944
SO43999,2011-02-15 00:00:00.000,311,1,1,3578.27,3578.27,2171.2942
SO44000,2011-02-16 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO44001,2011-02-16 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO44002,2011-02-16 00:00:00.000,336,4,1,699.0982,699.0982,413.1463
SO44003,2011-02-16 00:00:00.000,342,8,1,699.0982,699.0982,413.1463
SO44004,2011-02-16 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO44005,2011-02-16 00:00:00.000,334,6,1,699.0982,699.0982,413.1463
SO44006,2011-02-16 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44007,2011-02-16 00:00:00.000,320,9,1,699.0982,699.0982,413.1463
SO44008,2011-02-17 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO44009,2011-02-17 00:00:00.000,314,1,1,3578.27,3578.27,2171.2942
SO44010,2011-02-17 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO44011,2011-02-17 00:00:00.000,310,8,1,3578.27,3578.27,2171.2942
SO44012,2011-02-17 00:00:00.000,349,9,1,3374.99,3374.99,1898.0944
SO44013,2011-02-17 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO44014,2011-02-18 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO44015,2011-02-18 00:00:00.000,311,10,1,3578.27,3578.27,2171.2942
SO44016,2011-02-18 00:00:00.000,350,10,1,3374.99,3374.99,1898.0944
SO44017,2011-02-18 00:00:00.000,310,1,1,3578.27,3578.27,2171.2942
SO44018,2011-02-18 00:00:00.000,350,1,1,3374.99,3374.99,1898.0944
SO44019,2011-02-18 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44020,2011-02-18 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO44021,2011-02-18 00:00:00.000,348,9,1,3374.99,3374.99,1898.0944
SO44022,2011-02-19 00:00:00.000,313,6,1,3578.27,3578.27,2171.2942
SO44023,2011-02-19 00:00:00.000,349,6,1,3374.99,3374.99,1898.0944
SO44024,2011-02-19 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44025,2011-02-19 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44026,2011-02-19 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44027,2011-02-20 00:00:00.000,310,6,1,3578.27,3578.27,2171.2942
SO44028,2011-02-20 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO44029,2011-02-20 00:00:00.000,350,9,1,3374.99,3374.99,1898.0944
SO44030,2011-02-21 00:00:00.000,311,7,1,3578.27,3578.27,2171.2942
SO44031,2011-02-21 00:00:00.000,313,10,1,3578.27,3578.27,2171.2942
SO44032,2011-02-21 00:00:00.000,344,10,1,3399.99,3399.99,1912.1544
SO44033,2011-02-21 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44034,2011-02-21 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO44035,2011-02-21 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO44036,2011-02-21 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44037,2011-02-21 00:00:00.000,328,9,1,699.0982,699.0982,413.1463
SO44038,2011-02-21 00:00:00.000,344,4,1,3399.99,3399.99,1912.1544
SO44039,2011-02-22 00:00:00.000,342,7,1,699.0982,699.0982,413.1463
SO44040,2011-02-22 00:00:00.000,351,9,1,3374.99,3374.99,1898.0944
SO44041,2011-02-22 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO44042,2011-02-23 00:00:00.000,313,10,1,3578.27,3578.27,2171.2942
SO44043,2011-02-23 00:00:00.000,311,10,1,3578.27,3578.27,2171.2942
SO44044,2011-02-23 00:00:00.000,314,10,1,3578.27,3578.27,2171.2942
SO44045,2011-02-23 00:00:00.000,344,7,1,3399.99,3399.99,1912.1544
SO44046,2011-02-23 00:00:00.000,313,1,1,3578.27,3578.27,2171.2942
SO44047,2011-02-23 00:00:00.000,344,4,1,3399.99,3399.99,1912.1544
SO44048,2011-02-23 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44049,2011-02-24 00:00:00.000,314,8,1,3578.27,3578.27,2171.2942
SO44050,2011-02-24 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44051,2011-02-25 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO44052,2011-02-25 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44053,2011-02-26 00:00:00.000,338,8,1,699.0982,699.0982,413.1463
SO44054,2011-02-26 00:00:00.000,314,8,1,3578.27,3578.27,2171.2942
SO44055,2011-02-26 00:00:00.000,310,8,1,3578.27,3578.27,2171.2942
SO44056,2011-02-26 00:00:00.000,314,8,1,3578.27,3578.27,2171.2942
SO44057,2011-02-26 00:00:00.000,338,1,1,699.0982,699.0982,413.1463
SO44058,2011-02-26 00:00:00.000,350,9,1,3374.99,3374.99,1898.0944
SO44059,2011-02-26 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO44060,2011-02-26 00:00:00.000,342,9,1,699.0982,699.0982,413.1463
SO44061,2011-02-27 00:00:00.000,310,1,1,3578.27,3578.27,2171.2942
SO44062,2011-02-27 00:00:00.000,310,1,1,3578.27,3578.27,2171.2942
SO44063,2011-02-27 00:00:00.000,344,10,1,3399.99,3399.99,1912.1544
SO44064,2011-02-27 00:00:00.000,310,6,1,3578.27,3578.27,2171.2942
SO44065,2011-02-27 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO44066,2011-02-27 00:00:00.000,344,4,1,3399.99,3399.99,1912.1544
SO44067,2011-02-27 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44068,2011-02-28 00:00:00.000,313,8,1,3578.27,3578.27,2171.2942
SO44069,2011-02-28 00:00:00.000,349,7,1,3374.99,3374.99,1898.0944
SO44070,2011-02-28 00:00:00.000,349,6,1,3374.99,3374.99,1898.0944
SO44071,2011-02-28 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO44072,2011-02-28 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO44073,2011-02-28 00:00:00.000,351,9,1,3374.99,3374.99,1898.0944
SO44134,2011-03-01 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO44135,2011-03-01 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO44136,2011-03-01 00:00:00.000,311,6,1,3578.27,3578.27,2171.2942
SO44137,2011-03-01 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44138,2011-03-02 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO44139,2011-03-02 00:00:00.000,311,10,1,3578.27,3578.27,2171.2942
SO44140,2011-03-02 00:00:00.000,311,7,1,3578.27,3578.27,2171.2942
SO44141,2011-03-02 00:00:00.000,313,8,1,3578.27,3578.27,2171.2942
SO44142,2011-03-02 00:00:00.000,313,6,1,3578.27,3578.27,2171.2942
SO44143,2011-03-02 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO44144,2011-03-02 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO44145,2011-03-02 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44146,2011-03-02 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO44147,2011-03-02 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO44148,2011-03-03 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO44149,2011-03-03 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO44150,2011-03-03 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO44151,2011-03-03 00:00:00.000,328,9,1,699.0982,699.0982,413.1463
SO44152,2011-03-04 00:00:00.000,346,10,1,3399.99,3399.99,1912.1544
SO44153,2011-03-04 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO44154,2011-03-04 00:00:00.000,311,1,1,3578.27,3578.27,2171.2942
SO44155,2011-03-04 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO44156,2011-03-04 00:00:00.000,346,1,1,3399.99,3399.99,1912.1544
SO44157,2011-03-04 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO44158,2011-03-05 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO44159,2011-03-05 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO44160,2011-03-05 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO44161,2011-03-06 00:00:00.000,314,10,1,3578.27,3578.27,2171.2942
SO44162,2011-03-06 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
